,2018,2019,2020,2021,2022
Currency,USD,USD,USD,USD,USD
Operating Cash flow,77434000000,69391000000,80674000000,104038000000,122151000000
Payments For Operating Activities,3022000000,3423000000,4502000000,4087000000,4665000000
Proceeds From Operating Activities,None,None,None,None,None
Change In Operating Liabilities,47665000000,-7248000000,6935000000,19801000000,15558000000
Change In Operating Assets,12927000000,-3760000000,1245000000,24712000000,14358000000
Depreciation Depletion & Amortization,10903000000,12547000000,11056000000,11284000000,11104000000
Capital Expenditures,13313000000,10495000000,7309000000,11085000000,10708000000
Change In Receivables,13332000000,-3176000000,-8470000000,14028000000,9343000000
Change In Inventory,-828000000,289000000,127000000,2642000000,-1484000000
Profit Loss,59531000000,55256000000,57411000000,94680000000,99803000000
Cashflow From Investment,16066000000,45896000000,-4289000000,-14545000000,-22354000000
Cashflow From Financing,-87876000000,-90976000000,-86820000000,-93353000000,-110749000000
Proceeds From Repayments Of ShortTermDebt,-74000000,-11954000000,-1926000000,2044000000,7910000000
Payments For Repurchase Of CommonStock,72738000000,66897000000,72358000000,85971000000,89402000000
Payments For Repurchase Of Equity,72738000000,66897000000,72358000000,85971000000,89402000000
Payments For Repurchase Of Preferred Stock,None,None,None,None,None
Dividend Payout,13712000000,14119000000,14081000000,14467000000,14841000000
Dividend Payout CommonStock,13712000000,14119000000,14081000000,14467000000,14841000000
Dividend Payout Preferred Stock,None,None,None,None,None
Proceeds From Issuance Of CommonStock,669000000,781000000,880000000,1105000000,None
Proceeds From Issuance Of Long-Term Debt & Capital Securities Net,6969000000,6963000000,16091000000,20393000000,5465000000
Proceeds From Issuance Of Preferred Stock,None,None,None,None,None
Proceeds From Repurchase Of Equity,-72069000000,-66116000000,-71478000000,-84866000000,-89402000000
Proceeds From Sale Of Treasury Stock,None,None,None,None,None
Change In Cash & Cash Equivalents,5624000000,24311000000,-10435000000,-3860000000,-10952000000
Change In Exchange Rate,None,None,None,None,None
Net Income,59531000000,55256000000,57411000000,94680000000,99803000000
