,2018,2019,2020,2021,2022
Currency,USD,USD,USD,USD,USD
Gross Profit,101839000000,98392000000,104956000000,152836000000,170782000000
Total Revenue,265595000000,256598000000,271642000000,363172000000,391397000000
Cost Of Revenue,163756000000,180027000000,189475000000,234954000000,248640000000
Cost of Goods & Services Sold,163756000000,161782000000,169559000000,212981000000,223546000000
Operating Income,70898000000,63930000000,66288000000,108949000000,119437000000
Selling General & Administrative,16705000000,18245000000,19916000000,21973000000,25094000000
Research & Development,14236000000,16217000000,18752000000,21914000000,26251000000
Operating Expenses,30941000000,34462000000,38668000000,43887000000,51345000000
Investment Income Net,5686000000,4961000000,3763000000,2843000000,2825000000
Net Interest Income,-3240000000,-3576000000,-2873000000,-2645000000,-2931000000
Interest Income,5686000000,4961000000,3763000000,2843000000,106000000
Interest Expense,3240000000,3576000000,2873000000,2645000000,2931000000
Non-Interest Income,265595000000,260174000000,274515000000,365817000000,394328000000
Other Non-Operating Income,-441000000,422000000,-87000000,60000000,-228000000
Depreciation,9300000000,11300000000,9700000000,9500000000,8700000000
Depreciation & Amortization,10903000000,12547000000,11056000000,11284000000,11104000000
Income Before Tax,72903000000,65737000000,67091000000,109207000000,119103000000
Income Tax Expense,13372000000,10481000000,9680000000,14527000000,19300000000
Interest & Debt Expense,3240000000,3576000000,2873000000,2645000000,2931000000
Net Income From Continuing Operations,59531000000,55256000000,57411000000,94680000000,99803000000
Comprehensive Income Net Of Tax,56505000000,58037000000,57453000000,95249000000,88531000000
EBIT,76143000000,69313000000,69964000000,111852000000,122034000000
EBITDA,81801000000,76477000000,77344000000,120233000000,130541000000
Net Income,59531000000,55256000000,57411000000,94680000000,99803000000
