,2018,2019,2020,2021,2022
Currency,USD,USD,USD,USD,USD
Operating Cash flow,43884000000,52185000000,60675000000,76740000000,89035000000
Payments For Operating Activities,1697000000,1917000000,2165000000,2438000000,2797000000
Proceeds From Operating Activities,None,None,None,None,None
Change In Operating Liabilities,26031000000,9633000000,4293000000,10673000000,11917000000
Change In Operating Assets,5564000000,5767000000,5776000000,11609000000,11471000000
Depreciation Depletion & Amortization,9900000000,11600000000,12911000000,11821000000,15580000000
Capital Expenditures,11632000000,13925000000,15441000000,20622000000,23886000000
Change In Receivables,3862000000,2812000000,2577000000,6481000000,6834000000
Change In Inventory,465000000,-597000000,-168000000,737000000,1123000000
Profit Loss,16571000000,39240000000,44281000000,61271000000,72738000000
Cashflow From Investment,-6061000000,-15773000000,-12223000000,-27577000000,-30311000000
Cashflow From Financing,-33590000000,-36887000000,-46031000000,-48486000000,-58876000000
Proceeds From Repayments Of ShortTermDebt,-7324000000,0,0,None,None
Payments For Repurchase Of CommonStock,10721000000,19543000000,22968000000,27385000000,32696000000
Payments For Repurchase Of Equity,10721000000,19543000000,22968000000,27385000000,32696000000
Payments For Repurchase Of Preferred Stock,None,None,None,None,None
Dividend Payout,12699000000,13811000000,15137000000,16521000000,18135000000
Dividend Payout CommonStock,12699000000,13811000000,15137000000,16521000000,18135000000
Dividend Payout Preferred Stock,None,None,None,None,None
Proceeds From Issuance Of CommonStock,1002000000,1142000000,1343000000,1693000000,1841000000
Proceeds From Issuance Of Long-Term Debt & Capital Securities Net,None,None,None,None,None
Proceeds From Issuance Of Preferred Stock,None,None,None,None,None
Proceeds From Repurchase Of Equity,-9719000000,-18401000000,-21625000000,-25692000000,-30855000000
Proceeds From Sale Of Treasury Stock,None,None,None,None,None
Change In Cash & Cash Equivalents,4283000000,-590000000,2220000000,648000000,-152000000
Change In Exchange Rate,50000000,-115000000,-201000000,-29000000,None
Net Income,16571000000,39240000000,44281000000,61271000000,72738000000
