,2018,2019,2020,2021,2022
Currency,USD,USD,USD,USD,USD
Gross Profit,72007000000,82933000000,96937000000,115856000000,135620000000
Total Revenue,107222000000,123495000000,140503000000,165936000000,196109000000
Cost Of Revenue,62776000000,67908000000,73159000000,79977000000,93355000000
Cost of Goods & Services Sold,38353000000,42910000000,46078000000,52232000000,62650000000
Operating Income,35058000000,42959000000,52959000000,69916000000,83383000000
Selling General & Administrative,22223000000,23098000000,24709000000,25224000000,27725000000
Research & Development,14726000000,16876000000,19269000000,20716000000,24512000000
Operating Expenses,39149000000,41874000000,46350000000,48461000000,55217000000
Investment Income Net,2214000000,2762000000,2680000000,2131000000,2094000000
Net Interest Income,-2733000000,-2686000000,-2591000000,-2346000000,-2063000000
Interest Income,1522000000,812000000,2680000000,2131000000,2094000000
Interest Expense,2733000000,2686000000,2591000000,2346000000,2063000000
Non-Interest Income,109955000000,126181000000,143094000000,168282000000,198172000000
Other Non-Operating Income,-59000000,-57000000,-40000000,98000000,-32000000
Depreciation,7700000000,9700000000,10700000000,9300000000,12600000000
Depreciation & Amortization,2200000000,1900000000,2211000000,2521000000,2980000000
Income Before Tax,36474000000,43688000000,53036000000,71102000000,83716000000
Income Tax Expense,19903000000,4448000000,8755000000,9831000000,10978000000
Interest & Debt Expense,2733000000,2686000000,2591000000,2346000000,2063000000
Net Income From Continuing Operations,16571000000,39240000000,44281000000,61271000000,72738000000
Comprehensive Income Net Of Tax,13715000000,41154000000,47807000000,59897000000,66238000000
EBIT,39207000000,46374000000,55627000000,73448000000,85779000000
EBITDA,41407000000,48274000000,57838000000,75969000000,88759000000
Net Income,16571000000,39240000000,44281000000,61271000000,72738000000
